year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,2,1451,1457,-6,1755,1801,-6,B6,141,N508JB,JFK,PBI,157,1028,14,57,2013-01-02T19:00:00Z
2013,1,2,1527,1510,17,1736,1710,26,MQ,4579,N527MQ,LGA,CLT,91,544,15,10,2013-01-02T20:00:00Z
2013,1,2,1550,1550,0,1926,1925,1,DL,1773,N633DL,JFK,SLC,277,1990,15,50,2013-01-02T20:00:00Z
2013,1,2,1603,1517,46,1800,1639,81,EV,4580,N13968,EWR,MKE,154,725,15,17,2013-01-02T20:00:00Z
2013,1,2,1658,1700,-2,1857,1850,7,WN,3358,N442WN,EWR,STL,159,872,17,0,2013-01-02T22:00:00Z
2013,1,2,1715,1700,15,1916,1840,36,MQ,4323,N600MQ,JFK,ORF,55,290,17,0,2013-01-02T22:00:00Z
2013,1,2,1742,1745,-3,2123,2055,28,AA,785,N3JPAA,LGA,DFW,245,1389,17,45,2013-01-02T22:00:00Z
2013,1,2,1746,1750,-4,2043,2115,-32,UA,535,N512UA,JFK,LAX,325,2475,17,50,2013-01-02T22:00:00Z
2013,1,2,1804,1639,85,2050,1911,99,EV,4705,N14558,EWR,ATL,137,746,16,39,2013-01-02T21:00:00Z
2013,1,2,1813,1725,48,2149,2102,47,UA,979,N421UA,EWR,SFO,355,2565,17,25,2013-01-02T22:00:00Z
2013,1,2,1854,1900,-6,2024,2016,8,EV,5714,N836AS,JFK,IAD,53,228,19,0,2013-01-03T00:00:00Z
2013,1,2,2027,2015,12,2336,2321,15,B6,47,N529JB,JFK,FLL,160,1069,20,15,2013-01-03T01:00:00Z
2013,1,2,2100,2100,0,36,31,5,DL,2363,N711ZX,JFK,LAX,367,2475,21,0,2013-01-03T02:00:00Z
2013,1,3,543,545,-2,1009,1022,-13,B6,725,N779JB,JFK,BQN,191,1576,5,45,2013-01-03T10:00:00Z
2013,1,3,601,600,1,730,730,0,WN,959,N8329B,LGA,MDW,129,725,6,0,2013-01-03T11:00:00Z
2013,1,3,737,730,7,1106,1041,25,UA,482,N563UA,LGA,IAH,246,1416,7,30,2013-01-03T12:00:00Z
2013,1,3,749,755,-6,959,1012,-13,9E,4023,N8416B,EWR,CVG,113,569,7,55,2013-01-03T12:00:00Z
2013,1,3,825,829,-4,1020,1012,8,EV,3815,N14543,EWR,GSO,91,445,8,29,2013-01-03T13:00:00Z
2013,1,3,827,830,-3,1153,1145,8,UA,341,N845UA,EWR,FLL,189,1065,8,30,2013-01-03T13:00:00Z
2013,1,3,827,827,0,1155,1140,15,DL,2395,N378NW,LGA,PBI,168,1035,8,27,2013-01-03T13:00:00Z
2013,1,3,901,905,-4,1014,1025,-11,B6,1305,N294JB,JFK,IAD,52,228,9,5,2013-01-03T14:00:00Z
2013,1,3,913,904,9,1106,1053,13,UA,1529,N33714,EWR,CLE,73,404,9,4,2013-01-03T14:00:00Z
2013,1,3,914,920,-6,1235,1240,-5,AA,1589,N4WJAA,EWR,DFW,223,1372,9,20,2013-01-03T14:00:00Z
2013,1,3,1010,1015,-5,1212,1214,-2,US,1441,N760US,JFK,CLT,96,541,10,15,2013-01-03T15:00:00Z
2013,1,3,1017,1015,2,1207,1210,-3,US,1103,N561UW,EWR,CLT,92,529,10,15,2013-01-03T15:00:00Z
2013,1,3,1044,1050,-6,1358,1358,0,B6,373,N639JB,LGA,FLL,171,1076,10,50,2013-01-03T15:00:00Z
2013,1,3,1110,1115,-5,1425,1425,0,AA,2099,N3HCAA,LGA,MIA,170,1096,11,15,2013-01-03T16:00:00Z
2013,1,3,1153,1200,-7,1317,1315,2,MQ,4425,N818MQ,JFK,DCA,63,213,12,0,2013-01-03T17:00:00Z
2013,1,3,1223,1144,39,1332,1255,37,EV,4347,N13975,EWR,BTV,45,266,11,44,2013-01-03T16:00:00Z
2013,1,3,1255,1300,-5,1527,1529,-2,EV,4950,N758EV,EWR,ATL,129,746,13,0,2013-01-03T18:00:00Z
2013,1,3,1300,1308,-8,1536,1537,-1,FL,348,N924AT,LGA,ATL,129,762,13,8,2013-01-03T18:00:00Z
2013,1,3,1334,1315,19,1637,1611,26,B6,505,N632JB,EWR,FLL,165,1065,13,15,2013-01-03T18:00:00Z
2013,1,3,1455,1459,-4,1811,1806,5,B6,377,N645JB,LGA,FLL,166,1076,14,59,2013-01-03T19:00:00Z
2013,1,3,1456,1500,-4,1706,1656,10,US,720,N197UW,EWR,CLT,99,529,15,0,2013-01-03T20:00:00Z
2013,1,3,1457,1456,1,1648,1624,24,9E,4357,N8646A,JFK,ORF,58,290,14,56,2013-01-03T19:00:00Z
2013,1,3,1500,1355,65,1832,1711,81,DL,2079,N908DL,LGA,FLL,168,1076,13,55,2013-01-03T18:00:00Z
2013,1,3,1515,1520,-5,1847,1842,5,DL,2115,N354NW,LGA,MIA,181,1096,15,20,2013-01-03T20:00:00Z
2013,1,3,1519,1459,20,1855,1805,50,B6,63,N729JB,JFK,TPA,173,1005,14,59,2013-01-03T19:00:00Z
2013,1,3,1724,1730,-6,1914,1926,-12,US,449,N648AW,EWR,CLT,90,529,17,30,2013-01-03T22:00:00Z
2013,1,3,1804,1810,-6,2113,2130,-17,AA,1611,N3HFAA,LGA,MIA,168,1096,18,10,2013-01-03T23:00:00Z
2013,1,3,1809,1800,9,1932,1917,15,B6,1016,N178JB,JFK,BOS,43,187,18,0,2013-01-03T23:00:00Z
2013,1,3,1816,1758,18,1940,1935,5,UA,627,N480UA,EWR,ORD,105,719,17,58,2013-01-03T22:00:00Z
2013,1,3,1823,1819,4,2045,2138,-53,UA,593,N441UA,EWR,SNA,288,2434,18,19,2013-01-03T23:00:00Z
2013,1,3,1827,1827,0,2033,2045,-12,UA,612,N541UA,EWR,DEN,207,1605,18,27,2013-01-03T23:00:00Z
2013,1,3,1920,1925,-5,2221,2229,-8,DL,1485,N969DL,LGA,MCO,153,950,19,25,2013-01-04T00:00:00Z
2013,1,3,2014,1935,39,2250,2207,43,EV,4333,N11140,EWR,TUL,190,1215,19,35,2013-01-04T00:00:00Z
2013,1,3,2048,1930,78,2340,2229,71,B6,39,N523JB,JFK,PBI,147,1028,19,30,2013-01-04T00:00:00Z
2013,1,3,2258,2250,8,2359,2359,0,B6,22,N708JB,JFK,SYR,42,209,22,50,2013-01-04T03:00:00Z
2013,1,4,745,745,0,1109,1036,33,B6,983,N516JB,LGA,TPA,158,1010,7,45,2013-01-04T12:00:00Z
2013,1,4,800,800,0,1055,1054,1,B6,517,N517JB,EWR,MCO,143,937,8,0,2013-01-04T13:00:00Z
2013,1,4,805,810,-5,952,955,-3,MQ,4406,N713MQ,JFK,RDU,74,427,8,10,2013-01-04T13:00:00Z
2013,1,4,820,827,-7,1119,1140,-21,DL,2395,N315US,LGA,PBI,150,1035,8,27,2013-01-04T13:00:00Z
2013,1,4,1100,955,65,1322,1220,62,MQ,4654,N517MQ,LGA,ATL,127,762,9,55,2013-01-04T14:00:00Z
2013,1,4,1116,1114,2,1332,1345,-13,UA,1493,N35204,LGA,DEN,227,1620,11,14,2013-01-04T16:00:00Z
2013,1,4,1118,1130,-12,1350,1445,-55,UA,703,N512UA,JFK,LAX,309,2475,11,30,2013-01-04T16:00:00Z
2013,1,4,1141,1145,-4,1404,1410,-6,DL,401,N305DQ,EWR,ATL,121,746,11,45,2013-01-04T16:00:00Z
2013,1,4,1146,1200,-14,1249,1306,-17,B6,1174,N317JB,EWR,BOS,43,200,12,0,2013-01-04T17:00:00Z
2013,1,4,1224,1230,-6,1332,1343,-11,EV,4087,N14993,EWR,PWM,48,284,12,30,2013-01-04T17:00:00Z
2013,1,4,1231,1235,-4,1524,1606,-42,DL,2174,N387DA,JFK,SLC,269,1990,12,35,2013-01-04T17:00:00Z
2013,1,4,1454,1500,-6,1553,1620,-27,US,2179,N951UW,LGA,DCA,44,214,15,0,2013-01-04T20:00:00Z
2013,1,4,1457,1505,-8,1635,1637,-2,9E,3393,N920XJ,JFK,DCA,46,213,15,5,2013-01-04T20:00:00Z
2013,1,4,1555,1455,60,1851,1805,46,UA,473,N488UA,EWR,FLL,158,1065,14,55,2013-01-04T19:00:00Z
2013,1,4,1601,1605,-4,1731,1754,-23,9E,3459,N934XJ,JFK,BNA,120,765,16,5,2013-01-04T21:00:00Z
2013,1,4,1603,1605,-2,1814,1835,-21,WN,350,N710SW,EWR,DEN,225,1605,16,5,2013-01-04T21:00:00Z
2013,1,4,1616,1610,6,1853,1900,-7,DL,1331,N394DA,JFK,DEN,220,1626,16,10,2013-01-04T21:00:00Z
2013,1,4,1633,1640,-7,1844,1850,-6,MQ,4540,N723MQ,LGA,DTW,91,502,16,40,2013-01-04T21:00:00Z
2013,1,4,1639,1644,-5,1954,2020,-26,UA,1078,N76517,EWR,SAT,242,1569,16,44,2013-01-04T21:00:00Z
2013,1,4,1641,1640,1,1942,1955,-13,AA,773,N541AA,LGA,DFW,208,1389,16,40,2013-01-04T21:00:00Z
2013,1,4,1752,1749,3,1914,1909,5,B6,1307,N284JB,JFK,IAD,50,228,17,49,2013-01-04T22:00:00Z
2013,1,4,1812,1800,12,1937,1939,-2,UA,691,N441UA,LGA,ORD,121,733,18,0,2013-01-04T23:00:00Z
2013,1,4,2006,2005,1,2250,2258,-8,UA,711,N494UA,EWR,MCO,140,937,20,5,2013-01-05T01:00:00Z
2013,1,4,2048,1912,96,2332,2237,55,B6,87,N570JB,JFK,SLC,266,1990,19,12,2013-01-05T00:00:00Z
2013,1,4,2130,2135,-5,5,50,-45,AA,185,N323AA,JFK,LAX,315,2475,21,35,2013-01-05T02:00:00Z
2013,1,4,2149,2155,-6,2312,2337,-25,B6,1109,N284JB,JFK,RDU,69,427,21,55,2013-01-05T02:00:00Z
2013,1,5,555,600,-5,824,810,14,FL,345,N969AT,LGA,ATL,116,762,6,0,2013-01-05T11:00:00Z
2013,1,5,558,600,-2,900,856,4,B6,71,N652JB,JFK,TPA,156,1005,6,0,2013-01-05T11:00:00Z
2013,1,5,610,615,-5,823,842,-19,DL,575,N326NB,EWR,ATL,111,746,6,15,2013-01-05T11:00:00Z
2013,1,5,651,700,-9,949,1019,-30,DL,2003,N905DL,LGA,MIA,155,1096,7,0,2013-01-05T12:00:00Z
2013,1,5,754,800,-6,1101,1124,-23,DL,2143,N319US,JFK,MIA,153,1089,8,0,2013-01-05T13:00:00Z
2013,1,5,824,830,-6,1019,1021,-2,9E,4220,N8646A,JFK,RDU,70,427,8,30,2013-01-05T13:00:00Z
2013,1,5,953,1000,-7,1320,1310,10,B6,503,N587JB,EWR,FLL,184,1065,10,0,2013-01-05T15:00:00Z
2013,1,5,957,1000,-3,1246,1312,-26,UA,927,N814UA,EWR,MIA,154,1085,10,0,2013-01-05T15:00:00Z
2013,1,5,1039,1043,-4,1329,1332,-3,B6,545,N658JB,EWR,PBI,155,1023,10,43,2013-01-05T15:00:00Z
2013,1,5,1220,1220,0,1530,1531,-1,B6,673,N593JB,JFK,LAX,341,2475,12,20,2013-01-05T17:00:00Z
2013,1,5,1335,1340,-5,1704,1715,-11,WN,3244,N216WR,EWR,PHX,307,2133,13,40,2013-01-05T18:00:00Z
2013,1,5,1534,1500,34,1819,1751,28,UA,1618,N33203,EWR,TPA,152,997,15,0,2013-01-05T20:00:00Z
2013,1,5,1636,1632,4,1937,1925,12,UA,1178,N68159,EWR,IAH,217,1400,16,32,2013-01-05T21:00:00Z
2013,1,5,1650,1655,-5,2016,2029,-13,DL,706,N371NB,JFK,AUS,248,1521,16,55,2013-01-05T21:00:00Z
2013,1,5,1709,1705,4,2017,2010,7,AA,1905,N4XJAA,EWR,DFW,219,1372,17,5,2013-01-05T22:00:00Z
2013,1,5,1723,1700,23,1839,1840,-1,MQ,4323,N603MQ,JFK,ORF,53,290,17,0,2013-01-05T22:00:00Z
2013,1,5,1756,1758,-2,2028,2014,14,EV,4397,N16178,EWR,MCI,184,1092,17,58,2013-01-05T22:00:00Z
2013,1,5,1802,1805,-3,2114,2119,-5,DL,1471,N964DL,LGA,TPA,164,1010,18,5,2013-01-05T23:00:00Z
2013,1,5,1937,1859,38,2246,2234,12,B6,171,N653JB,JFK,SMF,347,2521,18,59,2013-01-05T23:00:00Z
2013,1,5,2011,2005,6,2310,2315,-5,UA,386,N842UA,EWR,MIA,162,1085,20,5,2013-01-06T01:00:00Z
2013,1,5,2101,2100,1,2220,2229,-9,UA,162,N45440,EWR,ORD,120,719,21,0,2013-01-06T02:00:00Z
2013,1,5,2127,2125,2,2225,2235,-10,UA,1066,N37274,EWR,BOS,33,200,21,25,2013-01-06T02:00:00Z
2013,1,6,626,630,-4,1154,1140,14,AA,413,N3HBAA,JFK,SJU,197,1598,6,30,2013-01-06T11:00:00Z
2013,1,6,659,655,4,1001,942,19,B6,203,N760JB,JFK,LAS,316,2248,6,55,2013-01-06T11:00:00Z
2013,1,6,816,749,27,1128,1054,34,B6,341,N708JB,JFK,SRQ,168,1041,7,49,2013-01-06T12:00:00Z
2013,1,6,946,955,-9,1052,1100,-8,9E,3667,N8577D,JFK,PHL,28,94,9,55,2013-01-06T14:00:00Z
2013,1,6,1019,1018,1,1330,1331,-1,UA,952,N474UA,EWR,RSW,176,1068,10,18,2013-01-06T15:00:00Z
2013,1,6,1027,1030,-3,1335,1340,-5,AA,19,N328AA,JFK,LAX,344,2475,10,30,2013-01-06T15:00:00Z
2013,1,6,1131,1130,1,1438,1450,-12,VX,409,N638VA,JFK,LAX,342,2475,11,30,2013-01-06T16:00:00Z
2013,1,6,1306,1310,-4,1439,1427,12,EV,4148,N15973,EWR,BUF,56,282,13,10,2013-01-06T18:00:00Z
2013,1,6,1348,1315,33,1647,1605,42,B6,393,N706JB,LGA,MCO,147,950,13,15,2013-01-06T18:00:00Z
2013,1,6,1413,1420,-7,1557,1620,-23,MQ,4588,N509MQ,LGA,MSP,143,1020,14,20,2013-01-06T19:00:00Z
2013,1,6,1414,1416,-2,1701,1650,11,FL,349,N975AT,LGA,ATL,133,762,14,16,2013-01-06T19:00:00Z
2013,1,6,1451,1459,-8,1645,1645,0,B6,1053,N273JB,JFK,PIT,79,340,14,59,2013-01-06T19:00:00Z
2013,1,6,1530,1530,0,1802,1725,37,MQ,4146,N617MQ,JFK,CMH,104,483,15,30,2013-01-06T20:00:00Z
2013,1,6,1631,1630,1,1936,1952,-16,B6,675,N648JB,JFK,LAX,332,2475,16,30,2013-01-06T21:00:00Z
2013,1,6,1632,1635,-3,1947,2000,-13,US,656,N667AW,EWR,PHX,294,2133,16,35,2013-01-06T21:00:00Z
2013,1,6,1726,1734,-8,1835,1852,-17,B6,74,N621JB,JFK,BTV,46,266,17,34,2013-01-06T22:00:00Z
2013,1,6,1736,1730,6,2049,2022,27,UA,1109,N18112,EWR,MCO,150,937,17,30,2013-01-06T22:00:00Z
2013,1,6,1738,1735,3,1926,1925,1,WN,408,N742SW,LGA,BNA,125,764,17,35,2013-01-06T22:00:00Z
2013,1,6,1824,1830,-6,2045,2044,1,9E,3716,N8896A,EWR,DTW,88,488,18,30,2013-01-06T23:00:00Z
2013,1,6,1908,1845,23,2116,2050,26,EV,4227,N14904,EWR,GRR,95,605,18,45,2013-01-06T23:00:00Z
2013,1,6,1945,1940,5,2126,2125,1,MQ,3783,N534MQ,JFK,CMH,80,483,19,40,2013-01-07T00:00:00Z
2013,1,6,2044,2045,-1,2142,2216,-34,9E,3395,N930XJ,JFK,DCA,42,213,20,45,2013-01-07T01:00:00Z
2013,1,6,2202,2159,3,2256,2300,-4,EV,4162,N13955,EWR,BWI,36,169,21,59,2013-01-07T02:00:00Z
2013,1,6,2224,2225,-1,304,311,-7,B6,713,N605JB,JFK,SJU,200,1598,22,25,2013-01-07T03:00:00Z
2013,1,7,544,530,14,822,829,-7,UA,927,N412UA,LGA,IAH,191,1416,5,30,2013-01-07T10:00:00Z
2013,1,7,556,600,-4,746,759,-13,DL,731,N358NB,LGA,DTW,80,502,6,0,2013-01-07T11:00:00Z
2013,1,7,610,600,10,658,700,-2,US,255,N524UW,JFK,PHL,27,94,6,0,2013-01-07T11:00:00Z
2013,1,7,659,700,-1,1011,1019,-8,DL,2003,N922DL,LGA,MIA,159,1096,7,0,2013-01-07T12:00:00Z
2013,1,7,805,805,0,1118,1113,5,B6,17,N806JB,JFK,FLL,157,1069,8,5,2013-01-07T13:00:00Z
2013,1,7,842,720,82,1035,920,75,EV,4246,N11551,EWR,DTW,90,488,7,20,2013-01-07T12:00:00Z
2013,1,7,918,921,-3,1019,1029,-10,B6,1004,N615JB,JFK,BOS,35,187,9,21,2013-01-07T14:00:00Z
2013,1,7,921,920,1,1200,1233,-33,UA,1223,N78866,EWR,LAX,307,2454,9,20,2013-01-07T14:00:00Z
2013,1,7,951,1000,-9,1053,1108,-15,US,2122,N944UW,LGA,BOS,35,184,10,0,2013-01-07T15:00:00Z
2013,1,7,959,959,0,1221,1248,-27,B6,197,N606JB,JFK,LAS,299,2248,9,59,2013-01-07T14:00:00Z
2013,1,7,1000,819,101,1444,1307,97,B6,717,N564JB,JFK,SJU,202,1598,8,19,2013-01-07T13:00:00Z
2013,1,7,1025,1030,-5,1206,1215,-9,MQ,4471,N739MQ,LGA,RDU,69,431,10,30,2013-01-07T15:00:00Z
2013,1,7,1127,1129,-2,1437,1438,-1,B6,133,N537JB,JFK,RSW,166,1074,11,29,2013-01-07T16:00:00Z
2013,1,7,1445,1350,55,1714,1624,50,B6,615,N283JB,JFK,JAX,123,828,13,50,2013-01-07T18:00:00Z
2013,1,7,1450,1456,-6,1631,1624,7,9E,4357,N8577D,JFK,ORF,48,290,14,56,2013-01-07T19:00:00Z
2013,1,7,1547,1550,-3,1657,1710,-13,WN,4215,N936WN,EWR,MDW,112,711,15,50,2013-01-07T20:00:00Z
2013,1,7,1634,1635,-1,1753,1810,-17,MQ,3695,N510MQ,EWR,ORD,112,719,16,35,2013-01-07T21:00:00Z
2013,1,7,1651,1700,-9,1926,1955,-29,AA,257,N3CJAA,JFK,LAS,302,2248,17,0,2013-01-07T22:00:00Z
2013,1,7,1654,1700,-6,1944,1943,1,DL,1499,N6714Q,LGA,ATL,111,762,17,0,2013-01-07T22:00:00Z
2013,1,7,1659,1650,9,1826,1820,6,AA,1790,N3ANAA,JFK,BOS,33,187,16,50,2013-01-07T21:00:00Z
2013,1,7,1706,1710,-4,1800,1820,-20,EV,4316,N17984,EWR,BWI,36,169,17,10,2013-01-07T22:00:00Z
2013,1,7,1708,1635,33,1859,1841,18,B6,1085,N229JB,JFK,CLT,80,541,16,35,2013-01-07T21:00:00Z
2013,1,7,1726,1725,1,2021,2040,-19,AA,145,N3HBAA,JFK,SAN,326,2446,17,25,2013-01-07T22:00:00Z
2013,1,7,1752,1800,-8,1906,1913,-7,US,2185,N721UW,LGA,DCA,37,214,18,0,2013-01-07T23:00:00Z
2013,1,7,1820,1830,-10,2007,2015,-8,MQ,4674,N523MQ,LGA,CLE,64,419,18,30,2013-01-07T23:00:00Z
2013,1,7,1826,1830,-4,2143,2202,-19,UA,272,N505UA,JFK,SFO,351,2586,18,30,2013-01-07T23:00:00Z
2013,1,7,1942,1946,-4,2144,2154,-10,EV,4536,N14542,EWR,CVG,95,569,19,46,2013-01-08T00:00:00Z
2013,1,7,2018,1904,74,2153,2109,44,EV,4627,N14143,EWR,CLT,87,529,19,4,2013-01-08T00:00:00Z
2013,1,7,2024,2029,-5,2106,2140,-34,9E,3609,N833AY,JFK,PHL,26,94,20,29,2013-01-08T01:00:00Z
2013,1,7,2033,2045,-12,2134,2154,-20,B6,1178,N206JB,EWR,BOS,45,200,20,45,2013-01-08T01:00:00Z
2013,1,7,2052,2100,-8,2205,2211,-6,US,2191,N762US,LGA,DCA,46,214,21,0,2013-01-08T02:00:00Z
2013,1,7,2301,2159,62,13,2315,58,EV,4257,N14923,EWR,BTV,42,266,21,59,2013-01-08T02:00:00Z
2013,1,8,551,600,-9,824,837,-13,DL,461,N642DL,LGA,ATL,122,762,6,0,2013-01-08T11:00:00Z
2013,1,8,619,630,-11,821,831,-10,US,1507,N188US,EWR,CLT,88,529,6,30,2013-01-08T11:00:00Z
2013,1,8,719,725,-6,1037,1030,7,AS,11,N553AS,EWR,SEA,347,2402,7,25,2013-01-08T12:00:00Z
2013,1,8,740,634,66,920,822,58,EV,4334,N11187,EWR,CMH,78,463,6,34,2013-01-08T11:00:00Z
2013,1,8,855,859,-4,1134,1145,-11,DL,1747,N665DN,LGA,ATL,122,762,8,59,2013-01-08T13:00:00Z
2013,1,8,915,915,0,1212,1225,-13,B6,25,N629JB,JFK,FLL,156,1069,9,15,2013-01-08T14:00:00Z
2013,1,8,921,906,15,1233,1217,16,UA,1517,N76265,EWR,PBI,149,1023,9,6,2013-01-08T14:00:00Z
2013,1,8,1015,900,75,1302,1204,58,DL,1885,N318NB,LGA,MCO,138,950,9,0,2013-01-08T14:00:00Z
2013,1,8,1037,1006,31,1141,1121,20,EV,5711,N828AS,JFK,IAD,44,228,10,6,2013-01-08T15:00:00Z
2013,1,8,1110,1115,-5,1412,1425,-13,AA,2099,N3FLAA,LGA,MIA,156,1096,11,15,2013-01-08T16:00:00Z
2013,1,8,1128,1130,-2,1307,1315,-8,WN,145,N344SW,EWR,STL,140,872,11,30,2013-01-08T16:00:00Z
2013,1,8,1138,1120,18,1353,1336,17,EV,4298,N11187,EWR,MCI,172,1092,11,20,2013-01-08T16:00:00Z
2013,1,8,1221,1221,0,1516,1555,-39,UA,551,N815UA,EWR,SFO,337,2565,12,21,2013-01-08T17:00:00Z
2013,1,8,1231,1240,-9,1523,1540,-17,AA,1853,N589AA,EWR,DFW,212,1372,12,40,2013-01-08T17:00:00Z
2013,1,8,1344,1345,-1,1641,1641,0,B6,1783,N656JB,JFK,MCO,143,944,13,45,2013-01-08T18:00:00Z
2013,1,8,1431,1350,41,1701,1629,32,DL,1705,N351NW,LGA,MSY,189,1183,13,50,2013-01-08T18:00:00Z
2013,1,8,1704,1705,-1,2036,2013,23,UA,990,N456UA,LGA,IAH,231,1416,17,5,2013-01-08T22:00:00Z
2013,1,8,1707,1715,-8,2018,2019,-1,DL,1585,N919DL,LGA,MCO,145,950,17,15,2013-01-08T22:00:00Z
2013,1,8,1715,1517,118,2005,1816,109,B6,537,N630JB,EWR,TPA,147,997,15,17,2013-01-08T20:00:00Z
2013,1,8,1721,1725,-4,2041,2050,-9,UA,512,N517UA,JFK,SFO,358,2586,17,25,2013-01-08T22:00:00Z
2013,1,8,1819,1820,-1,2126,2150,-24,AA,119,N3HXAA,EWR,LAX,342,2454,18,20,2013-01-08T23:00:00Z
2013,1,8,1917,1920,-3,2036,2100,-24,AA,359,N3BYAA,LGA,ORD,119,733,19,20,2013-01-09T00:00:00Z
2013,1,8,1954,2000,-6,2121,2139,-18,UA,695,N424UA,LGA,ORD,122,733,20,0,2013-01-09T01:00:00Z
2013,1,8,2000,2005,-5,2203,2204,-1,EV,4133,N16911,EWR,GSP,99,594,20,5,2013-01-09T01:00:00Z
2013,1,8,2020,2025,-5,2338,2329,9,UA,771,N510UA,JFK,LAX,351,2475,20,25,2013-01-09T01:00:00Z
2013,1,8,2048,2055,-7,2239,2250,-11,MQ,4573,N739MQ,LGA,DTW,86,502,20,55,2013-01-09T01:00:00Z
2013,1,8,2132,2135,-3,10,24,-14,B6,43,N627JB,JFK,MCO,135,944,21,35,2013-01-09T02:00:00Z
2013,1,8,2154,2159,-5,2243,2300,-17,EV,4519,N27190,EWR,BWI,36,169,21,59,2013-01-09T02:00:00Z
2013,1,9,654,700,-6,905,850,15,AA,305,N466AA,LGA,ORD,139,733,7,0,2013-01-09T12:00:00Z
